name,year,number,condition,date,bids,price
Ted Williams,1957,1,LOW GRADE (crease),2020-09-11,15,50
Ted Williams,1957,1,VG-VGEX,2020-09-10,22,227.5
Ted Williams,1957,1,VG-VGEX,2020-09-09,21,123
Ted Williams,1957,1,VG-VGEX,2020-09-06,20,60
Ted Williams,1957,1,LOW GRADE,2020-08-28,15,51
Ted Williams,1957,1,EX-EXMINT (miscut),2020-08-14,25,280.51
Ted Williams,1957,1,EX-EXMINT,2020-08-12,31,246.5
Ted Williams,1957,1,EX-EXMINT,2020-08-09,34,145.5
Ted Williams,1957,1,LOW GRADE (crease),2020-07-31,22,47
Willie Mays,1957,10,VG-VGEX (wrinkle),2020-10-23,28,92.11
Willie Mays,1957,10,LOW GRADE,2020-10-02,16,32.93
Willie Mays,1957,10,LOW GRADE (crease),2020-09-25,9,51
Willie Mays,1957,10,EX-EXMINT,2020-09-20,20,128
Willie Mays,1957,10,LOW GRADE (crease),2020-09-18,21,60
Willie Mays,1957,10,VG-VGEX (wrinkle),2020-09-11,27,91
Willie Mays,1957,10,VG-VGEX,2020-09-10,21,144.5
Willie Mays,1957,10,VG-VGEX,2020-09-09,24,125.5
Willie Mays,1957,10,VG-VGEX,2020-09-06,29,178.5
Willie Mays,1957,10,LOW GRADE (filler),2020-08-28,14,24.74
Willie Mays,1957,10,LOW GRADE (crease),2020-08-21,20,42
Willie Mays,1957,10,LOW GRADE (crease),2020-08-14,20,45.45
Willie Mays,1957,10,LOW GRADE (crease),2020-08-14,33,90
Willie Mays,1957,10,EX-EXMINT,2020-08-09,28,204.74
Willie Mays,1957,10,VG-VGEX (wrinkle),2020-08-07,19,46.1
Willie Mays,1957,10,LOW GRADE (filler) (paper loss),2020-07-31,12,30.99
Hank Aaron,1957,20,VG-VGEX,2020-10-06,32,140.5
Hank Aaron,1957,20,EX-EXMINT,2020-09-20,40,241.5
Hank Aaron,1957,20,VG-VGEX,2020-09-13,33,130.09
Hank Aaron,1957,20,VG-VGEX (wrinkle),2020-09-11,20,130
Hank Aaron,1957,20,LOW GRADE (crease),2020-09-11,17,72
Hank Aaron,1957,20,LOW GRADE (crease),2020-09-11,22,67
Hank Aaron,1957,20,LOW GRADE (crease),2020-09-11,18,41.1
Hank Aaron,1957,20,VG-VGEX,2020-09-10,27,178.5
Hank Aaron,1957,20,VG-VGEX,2020-09-09,15,67.11
Hank Aaron,1957,20,VG-VGEX,2020-09-06,40,152.5
Hank Aaron,1957,20,LOW GRADE (filler),2020-08-28,13,23.5
Hank Aaron,1957,20,LOW GRADE (crease),2020-08-28,21,78.77
Frank Robinson,1957,35,VG-VGEX (crease),2020-10-16,18,62.1
Frank Robinson,1957,35,VG-VGEX,2020-10-06,50,156
Frank Robinson,1957,35,VG-VGEX (miscut),2020-09-25,30,177.5
Frank Robinson,1957,35,VG-VGEX (crease),2020-09-18,24,83.8
Frank Robinson,1957,35,LOW GRADE (filler) (marked),2020-09-18,11,48.47
Frank Robinson,1957,35,EX-EXMINT,2020-09-13,23,232.5
Frank Robinson,1957,35,LOW GRADE (crease),2020-09-11,14,99.01
Frank Robinson,1957,35,LOW GRADE (crease),2020-09-11,12,83.52
Frank Robinson,1957,35,VG-VGEX,2020-09-10,31,152.5
Frank Robinson,1957,35,VG-VGEX,2020-09-09,25,112.5
Frank Robinson,1957,35,VG-VGEX,2020-09-06,30,113.5
Frank Robinson,1957,35,VG-VGEX,2020-09-03,26,118.5
Frank Robinson,1957,35,VG-VGEX (wrinkle),2020-08-21,39,120.5
Frank Robinson,1957,35,EX-EXMINT (marked),2020-07-31,32,153.37
Ernie Banks,1957,55,LOW GRADE (filler),2020-10-16,18,37
Ernie Banks,1957,55,VG-VGEX (crease),2020-10-02,13,36
Ernie Banks,1957,55,LOW GRADE (filler),2020-10-02,5,5.95
Ernie Banks,1957,55,VG-VGEX,2020-10-01,19,52
Ernie Banks,1957,55,VG-VGEX,2020-09-28,18,78
Ernie Banks,1957,55,LOW GRADE (crease),2020-09-18,16,32.55
Ernie Banks,1957,55,VG-VGEX,2020-09-13,14,50.55
Ernie Banks,1957,55,VG-VGEX (crease),2020-09-11,15,36
Ernie Banks,1957,55,LOW GRADE (crease),2020-09-11,10,20.5
Ernie Banks,1957,55,VG-VGEX,2020-09-10,21,60
Ernie Banks,1957,55,VG-VGEX,2020-09-09,10,52
Ernie Banks,1957,55,EX-EXMINT,2020-09-06,22,92.05
Ernie Banks,1957,55,VG-VGEX,2020-09-05,23,102.5
Ernie Banks,1957,55,VG-VGEX (wrinkle),2020-08-28,17,38
Ernie Banks,1957,55,VG-VGEX,2020-08-16,16,23.73
Ernie Banks,1957,55,VG-VGEX,2020-08-12,32,178.21
Ernie Banks,1957,55,EX-EXMINT,2020-08-09,31,105.5
Roberto Clemente,1957,76,LOW GRADE (crease),2020-10-09,16,90.99
Roberto Clemente,1957,76,VG-VGEX,2020-10-04,26,206.5
Roberto Clemente,1957,76,LOW GRADE (crease),2020-10-02,14,80.99
Roberto Clemente,1957,76,LOW GRADE (filler),2020-09-25,24,49
Roberto Clemente,1957,76,VG-VGEX,2020-09-22,28,114.5
Roberto Clemente,1957,76,VG-VGEX,2020-09-20,17,99
Roberto Clemente,1957,76,VG-VGEX (wrinkle),2020-09-18,14,67.66
Roberto Clemente,1957,76,VG-VGEX,2020-09-16,17,72.77
Roberto Clemente,1957,76,EX-EXMINT,2020-09-13,32,311.53
Roberto Clemente,1957,76,VG-VGEX (wrinkle),2020-09-11,28,90
Roberto Clemente,1957,76,LOW GRADE (crease),2020-09-11,18,60
Roberto Clemente,1957,76,LOW GRADE (crease) (marked),2020-09-11,15,56.1
