title,date,bids,price
1979 Topps Set Break #321 Gaylord Perry EX-EXMINT *GMCARDS*,2020-03-24,2,1.34
1979 Topps Set Break #321 Gaylord Perry EX-EXMINT *GMCARDS*,2020-03-23,,0.79
1979 Topps Set Break #321 Gaylord Perry NR-MINT *GMCARDS*,2020-03-18,4,3
1979 Topps Set Break #321 Gaylord Perry NR-MINT *GMCARDS*,2020-03-18,4,3.58
1979 Topps Set Break #321 Gaylord Perry NM-MT OR BETTER *GMCARDS*,2020-03-18,6,6
1979 Topps Set Break #321 Gaylord Perry NR-MINT *GMCARDS*,2020-03-09,2,1.25
1979 Topps Set Break #321 Gaylord Perry NM-MT OR BETTER *GMCARDS*,2020-03-03,2,2.23
1979 Topps Set Break #321 Gaylord Perry VG-VGEX *GMCARDS*,2020-02-27,2,1.11
1979 Topps Set Break #321 Gaylord Perry NM-MT OR BETTER *GMCARDS*,2020-02-25,7,9
1979 Topps Set Break #321 Gaylord Perry NR-MINT *GMCARDS*,2020-02-11,3,2.27
1979 Topps Set Break #321 Gaylord Perry EX-EXMINT *GMCARDS*,2020-02-05,3,1.36
1979 Topps Set Break #321 Gaylord Perry EX-EXMINT *GMCARDS*,2020-01-29,2,1.11
1979 Topps Set Break #321 Gaylord Perry NR-MINT *GMCARDS*,2020-01-21,4,2.25
1979 Topps Set Break #348 Andre Dawson EX-EXMINT *GMCARDS*,2020-04-11,2,1.44
1979 Topps Set Break #348 Andre Dawson EX-EXMINT *GMCARDS*,2020-04-07,6,4.25
1979 Topps Set Break #348 Andre Dawson EX-EXMINT *GMCARDS*,2020-04-03,4,3.27
1979 Topps Set Break #348 Andre Dawson VG-VGEX *GMCARDS*,2020-04-02,2,1.36
1979 Topps Set Break #348 Andre Dawson NR-MINT *GMCARDS*,2020-04-01,5,9.5
1979 Topps Set Break #348 Andre Dawson NR-MINT *GMCARDS*,2020-03-28,5,3
1979 Topps Set Break #348 Andre Dawson VG-VGEX *GMCARDS*,2020-03-26,,0.79
1979 Topps Set Break #348 Andre Dawson NM-MT OR BETTER *GMCARDS*,2020-03-24,8,10.5
1979 Topps Set Break #348 Andre Dawson NM-MT OR BETTER *GMCARDS*,2020-03-23,10,11.61
1979 Topps Set Break #348 Andre Dawson VG-VGEX *GMCARDS*,2020-03-19,2,1.36
