title,date,bids,price
1956 Topps Set Break #20 Al Kaline EX-EXMINT (white back) *GMCARDS*,2020-12-20,24,147
1956 Topps Set Break # 20 - Al Kaline LOW GRADE (filler) (white back) *GMCARDS*,2020-12-18,6,18.5
1956 Topps Set Break #20 Al Kaline VG-VGEX (white back) *GMCARDS*,2020-12-16,17,33
1956 Topps Set Break # 20 - Al Kaline VG-VGEX *GMCARDS*,2020-12-13,17,32.33
1956 Topps Set Break # 20 - Al Kaline VG-VGEX (crease) *GMCARDS*,2020-12-11,20,46
1956 Topps Set Break # 20 - Al Kaline VG-VGEX *GMCARDS*,2020-12-08,21,64
1956 Topps Set Break # 20 - Al Kaline VG-VGEX *GMCARDS*,2020-11-29,19,86
1956 Topps # 20 - Al Kaline VG-VGEX (crease) (white back) (marked) *GMCARDS*,2020-11-27,12,23.5
1956 Topps Set Break # 20 - Al Kaline LOW GRADE (crease) *GMCARDS*,2020-11-27,7,13.83
1956 Topps Set Break # 20 - Al Kaline EX-EXMINT (white back) (marked) *GMCARDS*,2020-11-20,17,52
1956 Topps Set Break # 20 - Al Kaline EX-EXMINT *GMCARDS*,2020-11-19,14,123.5
1956 Topps Set Break # 20 - Al Kaline VG-VGEX (white back) *GMCARDS*,2020-10-25,13,57
1956 Topps Set Break # 20 - Al Kaline VG-VGEX *GMCARDS*,2020-10-18,19,66
1956 Topps Set Break # 20 - Al Kaline VG-VGEX (white back) *GMCARDS*,2020-10-07,9,28.88
1956 Topps Set Break #30 Jackie Robinson VG-VGEX (white back) *GMCARDS*,2020-12-16,25,258
1956 Topps Set Break # 30 - Jackie Robinson VG-VGEX (crease) *GMCARDS*,2020-12-04,29,275
1956 Topps Set Break # 30 - Jackie Robinson VG-VGEX (crease) *GMCARDS*,2020-12-04,33,241.5
1956 Topps Set Break # 30 - Jackie Robinson VG-VGEX (white back) *GMCARDS*,2020-11-29,37,228.83
1956 Topps Set Break # 30 - Jackie Robinson EX-EXMINT (white back) *GMCARDS*,2020-11-22,27,458
1956 Topps Set Break # 30 - Jackie Robinson EX-EXMINT *GMCARDS*,2020-11-19,52,407.79
1956 Topps Set Break # 30 - Jackie Robinson EX-EXMINT (white back) *GMCARDS*,2020-10-29,38,355.12
1956 Topps Set Break # 31 Hank Aaron LOW GRADE (filler) *GMCARDS*,2020-01-02,13,84
1956 Topps Set Break # 31 Hank Aaron LOW GRADE (crease) (white back) *GMCARDS*,2020-01-02,8,68
1956 Topps Set Break #31 Hank Aaron LOW GRADE (crease) *GMCARDS*,2020-12-25,32,135.94
1956 Topps Set Break #31 Hank Aaron VG-VGEX *GMCARDS*,2020-12-20,60,263.86
1956 Topps Set Break # 31 - Hank Aaron LOW GRADE (filler) *GMCARDS*,2020-12-18,13,66
1956 Topps Set Break #31 Hank Aaron EX-EXMINT (white back) *GMCARDS*,2020-12-16,22,370
1956 Topps Set Break # 31 - Hank Aaron VG-VGEX *GMCARDS*,2020-12-13,16,93.1
1956 Topps Set Break # 31 - Hank Aaron VG-VGEX *GMCARDS*,2020-12-08,23,185.36
1956 Topps Set Break # 31 - Hank Aaron LOW GRADE (white back) *GMCARDS*,2020-12-04,29,76
1956 Topps Set Break # 31 - Hank Aaron LOW GRADE (crease) *GMCARDS*,2020-11-27,18,55
1956 Topps Set Break # 31 - Hank Aaron EX-EXMINT (white back) *GMCARDS*,2020-11-22,28,218.05
1956 Topps Set Break # 31 - Hank Aaron VG-VGEX (crease) *GMCARDS*,2020-11-20,28,157.5
