year,number,name,team,card_url
1966,137,Pat Corrales,St. Louis Cardinals,/ViewCard.cfm/sid/65/cid/29044/1966-Topps-137-Pat-Corrales
1966,155,Marcelino Lopez,California Angels,/ViewCard.cfm/sid/65/cid/29062/1966-Topps-155-Marcelino-Lopez
1966,195,Joe Morgan,Houston Astros,/ViewCard.cfm/sid/65/cid/29104/1966-Topps-195-Joe-Morgan
1966,298,Rico Petrocelli,Boston Red Sox,/ViewCard.cfm/sid/65/cid/29208/1966-Topps-298-Rico-Petrocelli
1966,376,Paul Schaal,California Angels,/ViewCard.cfm/sid/65/cid/29286/1966-Topps-376-Paul-Schaal
1966,460,Curt Blefary,Baltimore Orioles,/ViewCard.cfm/sid/65/cid/29372/1966-Topps-460-Curt-Blefary
1966,505,Jose Cardenal,California Angels,/ViewCard.cfm/sid/65/cid/29417/1966-Topps-505-Jose-Cardenal
1967,75,George Scott,Boston Red Sox,/ViewCard.cfm/sid/66/cid/13679/1967-Topps-75-George-Scott
1967,90,Jim Nash,Kansas City Athletics,/ViewCard.cfm/sid/66/cid/13695/1967-Topps-90-Jim-Nash
1967,106,Randy Hundley,Chicago Cubs,/ViewCard.cfm/sid/66/cid/13712/1967-Topps-106-Randy-Hundley
1967,165,Cleon Jones,New York Mets,/ViewCard.cfm/sid/66/cid/13771/1967-Topps-165-Cleon-Jones
1967,221,Woody Fryman,Pittsburgh Pirates,/ViewCard.cfm/sid/66/cid/13828/1967-Topps-221-Woody-Fryman
1967,363,Davey Johnson,Baltimore Orioles,/ViewCard.cfm/sid/66/cid/13970/1967-Topps-363-Davey-Johnson
1967,415,Sonny Jackson,Houston Astros,/ViewCard.cfm/sid/66/cid/14024/1967-Topps-415-Sonny-Jackson
1967,439,Byron Browne,Chicago Cubs,/ViewCard.cfm/sid/66/cid/14050/1967-Topps-439-Byron-Browne
1967,455,Tommie Agee,Chicago White Sox,/ViewCard.cfm/sid/66/cid/14068/1967-Topps-455-Tommie-Agee
1967,505,Tommy Helms,Cincinnati Reds,/ViewCard.cfm/sid/66/cid/14118/1967-Topps-505-Tommy-Helms
1968,45,"Tom Seaver, DP",New York Mets,/ViewCard.cfm/sid/68/cid/29596/1968-Topps-45-Tom-Seaver
1968,61,Reggie Smith,Boston Red Sox,/ViewCard.cfm/sid/68/cid/29613/1968-Topps-61-Reggie-Smith
1968,80,Rod Carew,Minnesota Twins,/ViewCard.cfm/sid/68/cid/29633/1968-Topps-80-Rod-Carew
1968,104,Dick Dietz,San Francisco Giants,/ViewCard.cfm/sid/68/cid/29657/1968-Topps-104-Dick-Dietz
1968,126,Bobby Etheridge,San Francisco Giants,/ViewCard.cfm/sid/68/cid/29680/1968-Topps-126-Bobby-Etheridge
1968,172,Walt Williams,Chicago White Sox,/ViewCard.cfm/sid/68/cid/29726/1968-Topps-172-Walt-Williams
1968,209,Tim Cullen,Washington Senators,/ViewCard.cfm/sid/68/cid/29764/1968-Topps-209-Tim-Cullen
1968,282,Rick Monday,Oakland Athletics,/ViewCard.cfm/sid/68/cid/29838/1968-Topps-282-Rick-Monday
1968,339,Rich Nye,Chicago Cubs,/ViewCard.cfm/sid/68/cid/29895/1968-Topps-339-Rich-Nye
1968,487,Lee May,Cincinnati Reds,/ViewCard.cfm/sid/68/cid/30046/1968-Topps-487-Lee-May
1969,90,Jerry Koosman,New York Mets,/ViewCard.cfm/sid/69/cid/30294/1969-Topps-90-Jerry-Koosman
1969,95,Johnny Bench,Cincinnati Reds,/ViewCard.cfm/sid/69/cid/30299/1969-Topps-95-Johnny-Bench
1969,237,Bobby Cox,New York Yankees,/ViewCard.cfm/sid/69/cid/30445/1969-Topps-237-Bobby-Cox
1969,338,Del Unser,Washington Senators,/ViewCard.cfm/sid/69/cid/30546/1969-Topps-338-Del-Unser
1969,361,Gary Holman,Washington Senators,/ViewCard.cfm/sid/69/cid/30569/1969-Topps-361-Gary-Holman
1969,380,Stan Bahnsen,New York Yankees,/ViewCard.cfm/sid/69/cid/30588/1969-Topps-380-Stan-Bahnsen
1969,402,Ken Boswell,New York Mets,/ViewCard.cfm/sid/69/cid/30610/1969-Topps-402-Ken-Boswell
1969,464,Dave Marshall,San Francisco Giants,/ViewCard.cfm/sid/69/cid/30680/1969-Topps-464-Dave-Marshall
1969,526,Hector Torres,Houston Astros,/ViewCard.cfm/sid/69/cid/30757/1969-Topps-526-Hector-Torres
1969,579,Dave Nelson,Cleveland Indians,/ViewCard.cfm/sid/69/cid/30810/1969-Topps-579-Dave-Nelson
1969,630,Bobby Bonds,San Francisco Giants,/ViewCard.cfm/sid/69/cid/30862/1969-Topps-630-Bobby-Bonds
1970,39,Mike Nagy,Boston Red Sox,/ViewCard.cfm/sid/70/cid/14868/1970-Topps-39-Mike-Nagy
1970,166,Al Oliver,Pittsburgh Pirates,/ViewCard.cfm/sid/70/cid/14996/1970-Topps-166-Al-Oliver
1970,174,Ted Sizemore,Los Angeles Dodgers,/ViewCard.cfm/sid/70/cid/15004/1970-Topps-174-Ted-Sizemore
1970,232,Bob Didier,Atlanta Braves,/ViewCard.cfm/sid/70/cid/15062/1970-Topps-232-Bob-Didier
1970,238,Jose Laboy,Montreal Expos,/ViewCard.cfm/sid/70/cid/15068/1970-Topps-238-Jose-Laboy
1970,288,Larry Hisle,Philadelphia Phillies,/ViewCard.cfm/sid/70/cid/15119/1970-Topps-288-Larry-Hisle
1970,321,Lou Piniella,Kansas City Royals,/ViewCard.cfm/sid/70/cid/15152/1970-Topps-321-Lou-Piniella
